Task name,Task description,Start time,End time,Duration,Duration in hours,Note,Tag
phi,NA,07/11/2018 11:18 am,07/11/2018 11:24 am,00:05:21,0.0893492,NA,phi
psi,NA,07/11/2018 11:24 am,07/11/2018 11:27 am,00:03:31,0.058699,NA,psi
psi,NA,07/11/2018 11:27 am,07/11/2018 12:03 pm,00:35:31,0.5922121,NA,psi
psi,NA,07/11/2018 1:16 pm,07/11/2018 1:22 pm,00:05:57,0.0992017,NA,psi
phi,NA,07/11/2018 1:49 pm,07/11/2018 1:49 pm,00:00:04,0.0013332,NA,phi
psi,NA,07/11/2018 1:51 pm,07/11/2018 2:06 pm,00:14:28,0.241206,NA,psi
phi,NA,07/11/2018 3:42 pm,07/11/2018 3:58 pm,00:15:41,0.2615436,NA,phi
phi,NA,07/11/2018 4:02 pm,07/11/2018 4:16 pm,00:14:28,0.2411857,NA,phi
review,NA,08/11/2018 11:02 am,08/11/2018 11:03 am,00:00:45,0.0126131,NA,psi
phi,NA,08/11/2018 11:03 am,08/11/2018 11:03 am,00:00:00,2.273e-4,NA,phi
phi,NA,08/11/2018 11:03 am,08/11/2018 11:04 am,00:00:47,0.0130901,NA,phi
psi,NA,08/11/2018 11:04 am,08/11/2018 11:04 am,00:00:45,0.0125674,NA,psi
phi,NA,08/11/2018 11:04 am,08/11/2018 11:14 am,00:09:18,0.1552454,NA,phi
review,NA,08/11/2018 11:22 am,08/11/2018 11:23 am,00:00:57,0.0159952,NA,psi
review,NA,08/11/2018 2:07 pm,08/11/2018 2:07 pm,00:00:17,0.0049524,NA,psi
phi,NA,08/11/2018 2:07 pm,08/11/2018 2:12 pm,00:04:41,0.0780637,NA,phi
psi,NA,08/11/2018 2:29 pm,08/11/2018 2:33 pm,00:03:43,0.0621808,NA,psi
psi,NA,08/11/2018 2:35 pm,08/11/2018 2:37 pm,00:01:22,0.022798,NA,psi
phi,NA,08/11/2018 3:00 pm,08/11/2018 3:04 pm,00:04:00,0.066789,NA,phi
review,NA,08/11/2018 3:11 pm,08/11/2018 3:21 pm,00:09:54,0.1651363,NA,psi
Blog  crafts  wellness,NA,08/11/2018 3:22 pm,08/11/2018 3:22 pm,00:00:04,0.001195,NA,wellness
phi,NA,08/11/2018 3:51 pm,08/11/2018 4:03 pm,00:12:05,0.2014997,NA,phi
phi,NA,08/11/2018 7:18 pm,08/11/2018 7:30 pm,00:11:56,0.1989824,NA,phi
review,NA,09/11/2018 9:37 am,09/11/2018 9:44 am,00:07:13,0.1203398,NA,psi
review,NA,09/11/2018 9:51 am,09/11/2018 9:51 am,00:00:18,0.0051857,NA,psi
theta,NA,09/11/2018 9:51 am,09/11/2018 9:54 am,00:02:39,0.0441769,NA,theta
psi,NA,09/11/2018 10:41 am,09/11/2018 10:45 am,00:03:58,0.0662092,NA,psi
psi,NA,09/11/2018 10:47 am,09/11/2018 10:48 am,00:01:33,0.0259615,NA,psi
theta,NA,09/11/2018 10:49 am,09/11/2018 11:00 am,00:11:50,0.1973446,NA,theta
review,NA,09/11/2018 11:28 am,09/11/2018 11:32 am,00:03:53,0.0649539,NA,psi
theta,NA,09/11/2018 11:32 am,09/11/2018 11:41 am,00:08:51,0.1475261,NA,theta
psi,NA,09/11/2018 12:04 pm,09/11/2018 12:06 pm,00:02:01,0.0336528,NA,psi
psi,NA,09/11/2018 12:43 pm,09/11/2018 1:03 pm,00:20:16,0.3380159,NA,psi
psi,NA,09/11/2018 1:12 pm,09/11/2018 1:19 pm,00:07:31,0.1254126,NA,psi
phi,NA,09/11/2018 1:19 pm,09/11/2018 1:19 pm,00:00:00,3.34e-5,NA,phi
theta,NA,09/11/2018 1:19 pm,09/11/2018 2:15 pm,00:56:10,0.9362647,NA,theta
psi,NA,09/11/2018 4:10 pm,09/11/2018 4:28 pm,00:17:59,0.2998448,NA,psi
review,NA,09/11/2018 5:38 pm,09/11/2018 5:38 pm,00:00:18,0.0051832,NA,psi
theta,NA,09/11/2018 5:38 pm,09/11/2018 5:56 pm,00:17:38,0.2939765,NA,theta
review,NA,09/11/2018 5:56 pm,09/11/2018 6:00 pm,00:04:24,0.0735183,NA,psi
Blog  crafts  wellness,NA,09/11/2018 6:42 pm,09/11/2018 6:42 pm,00:00:08,0.0024555,NA,wellness
phi,NA,09/11/2018 6:42 pm,09/11/2018 6:46 pm,00:04:18,0.0717392,NA,phi
theta,NA,09/11/2018 6:46 pm,09/11/2018 7:12 pm,00:26:06,0.4350457,NA,theta
theta,NA,09/11/2018 7:32 pm,09/11/2018 7:43 pm,00:10:31,0.175435,NA,theta
theta,NA,09/11/2018 7:48 pm,09/11/2018 8:09 pm,00:21:23,0.356443,NA,theta
review,NA,09/11/2018 8:09 pm,09/11/2018 8:10 pm,00:00:20,0.0058112,NA,psi
review,NA,09/11/2018 8:10 pm,09/11/2018 8:10 pm,00:00:00,2.053e-4,NA,psi
phi,NA,09/11/2018 8:22 pm,09/11/2018 8:39 pm,00:16:47,0.2798558,NA,phi
review,NA,09/11/2018 8:39 pm,09/11/2018 8:39 pm,00:00:16,0.0045234,NA,psi
psi,NA,09/11/2018 8:54 pm,09/11/2018 9:06 pm,00:12:18,0.2050568,NA,psi
psi,NA,09/11/2018 9:12 pm,09/11/2018 9:18 pm,00:05:59,0.0998756,NA,psi
review,NA,10/11/2018 8:00 am,10/11/2018 8:09 am,00:08:59,0.1498673,NA,psi
psi,NA,10/11/2018 8:09 am,10/11/2018 8:10 am,00:00:42,0.0118086,NA,psi
psi,NA,10/11/2018 8:22 am,10/11/2018 8:44 am,00:21:03,0.3511005,NA,psi
psi,NA,10/11/2018 8:44 am,10/11/2018 8:46 am,00:02:17,0.03807,NA,psi
psi,NA,10/11/2018 8:49 am,10/11/2018 8:56 am,00:06:58,0.1161984,NA,psi
review,NA,10/11/2018 9:05 am,10/11/2018 9:05 am,00:00:37,0.0104876,NA,psi
phi,NA,10/11/2018 9:05 am,10/11/2018 9:10 am,00:04:15,0.0711108,NA,phi
theta,NA,10/11/2018 9:13 am,10/11/2018 9:14 am,00:01:14,0.0205692,NA,theta
psi,NA,10/11/2018 9:14 am,10/11/2018 9:16 am,00:02:04,0.0345746,NA,psi
psi,NA,10/11/2018 9:16 am,10/11/2018 9:21 am,00:05:24,0.0901235,NA,psi
psi,NA,10/11/2018 9:38 am,10/11/2018 9:51 am,00:12:17,0.2048712,NA,psi
psi,NA,10/11/2018 11:17 am,10/11/2018 11:26 am,00:09:49,0.1637538,NA,psi
review,NA,10/11/2018 11:26 am,10/11/2018 12:06 pm,00:39:27,0.6576163,NA,psi
psi,NA,10/11/2018 12:06 pm,10/11/2018 12:06 pm,00:00:20,0.0056912,NA,psi
psi,NA,10/11/2018 12:06 pm,10/11/2018 12:16 pm,00:09:57,0.166073,NA,psi
psi,NA,10/11/2018 1:41 pm,10/11/2018 2:02 pm,00:21:22,0.3562197,NA,psi
phi,NA,10/11/2018 4:24 pm,10/11/2018 7:50 pm,03:25:12,3.4201203,NA,phi
theta,NA,10/11/2018 8:53 pm,10/11/2018 9:01 pm,00:07:53,0.1314164,NA,theta
phi,NA,10/11/2018 9:01 pm,10/11/2018 9:01 pm,00:00:04,0.001189,NA,phi
theta,NA,10/11/2018 9:01 pm,10/11/2018 10:12 pm,01:11:16,1.1878134,NA,theta
theta,NA,10/11/2018 10:19 pm,10/11/2018 10:35 pm,00:15:55,0.2653689,NA,theta
review,NA,11/11/2018 7:13 am,11/11/2018 7:42 am,00:28:14,0.4705709,NA,psi
psi,NA,11/11/2018 7:49 am,11/11/2018 7:49 am,00:00:25,0.0069506,NA,psi
phi,NA,11/11/2018 7:49 am,11/11/2018 8:04 am,00:15:10,0.2528499,NA,phi
psi,NA,11/11/2018 8:17 am,11/11/2018 8:20 am,00:02:40,0.0445099,NA,psi
review,NA,11/11/2018 8:43 am,11/11/2018 8:45 am,00:01:59,0.033153,NA,psi
review,NA,11/11/2018 8:57 am,11/11/2018 8:58 am,00:00:56,0.0158083,NA,psi
theta,NA,11/11/2018 8:58 am,11/11/2018 9:01 am,00:02:52,0.0478353,NA,theta
psi,NA,11/11/2018 9:01 am,11/11/2018 9:03 am,00:01:50,0.0308095,NA,psi
theta,NA,11/11/2018 9:26 am,11/11/2018 9:48 am,00:21:59,0.366665,NA,theta
review,NA,11/11/2018 9:48 am,11/11/2018 9:49 am,00:00:58,0.0161745,NA,psi
review,NA,11/11/2018 9:49 am,11/11/2018 10:30 am,00:41:01,0.6838554,NA,psi
phi,NA,11/11/2018 10:30 am,11/11/2018 10:30 am,00:00:11,0.0032686,NA,phi
phi,NA,11/11/2018 10:35 am,11/11/2018 10:37 am,00:02:32,0.0423753,NA,phi
theta,NA,11/11/2018 10:37 am,11/11/2018 10:55 am,00:17:37,0.2938761,NA,theta
theta,NA,11/11/2018 11:19 am,11/11/2018 11:20 am,00:00:52,0.014446,NA,theta
phi,NA,11/11/2018 6:50 pm,11/11/2018 7:02 pm,00:12:05,0.2016272,NA,phi
review,NA,11/11/2018 7:02 pm,11/11/2018 7:03 pm,00:00:28,0.0077785,NA,psi
theta,NA,11/11/2018 7:03 pm,11/11/2018 7:35 pm,00:32:13,0.5370517,NA,theta
review,NA,11/11/2018 7:35 pm,11/11/2018 7:36 pm,00:00:50,0.0139489,NA,psi
review,NA,12/11/2018 6:55 am,12/11/2018 6:59 am,00:04:46,0.0795142,NA,psi
psi,NA,12/11/2018 6:59 am,12/11/2018 7:02 am,00:02:25,0.0405503,NA,psi
psi,NA,12/11/2018 7:02 am,12/11/2018 7:16 am,00:13:58,0.2330372,NA,psi
psi,NA,12/11/2018 7:16 am,12/11/2018 7:17 am,00:00:43,0.0120948,NA,psi
review,NA,12/11/2018 7:17 am,12/11/2018 7:17 am,00:00:10,0.002861,NA,psi
psi,NA,12/11/2018 7:17 am,12/11/2018 7:17 am,00:00:01,4.062e-4,NA,psi
review,NA,12/11/2018 7:17 am,12/11/2018 7:17 am,00:00:20,0.0057506,NA,psi
phi,NA,12/11/2018 7:17 am,12/11/2018 7:28 am,00:10:23,0.1731814,NA,phi
psi,NA,12/11/2018 7:28 am,12/11/2018 7:28 am,00:00:00,2.717e-4,NA,psi
phi,NA,12/11/2018 7:28 am,12/11/2018 7:41 am,00:12:16,0.2044692,NA,phi
phi,NA,12/11/2018 8:31 am,12/11/2018 8:42 am,00:11:01,0.1837545,NA,phi
phi,NA,12/11/2018 8:44 am,12/11/2018 8:44 am,00:00:08,0.0022226,NA,phi
psi,NA,12/11/2018 12:21 pm,12/11/2018 12:27 pm,00:05:43,0.0955396,NA,psi
theta,NA,12/11/2018 12:27 pm,12/11/2018 12:30 pm,00:02:39,0.0444059,NA,theta
phi,NA,12/11/2018 12:30 pm,12/11/2018 12:37 pm,00:07:31,0.125409,NA,phi
theta,NA,12/11/2018 12:40 pm,12/11/2018 12:57 pm,00:16:40,0.2779666,NA,theta
psi,NA,12/11/2018 1:05 pm,12/11/2018 1:07 pm,00:02:16,0.0379311,NA,psi
review,NA,12/11/2018 1:13 pm,12/11/2018 1:18 pm,00:04:50,0.0807505,NA,psi
phi,NA,12/11/2018 1:18 pm,12/11/2018 1:52 pm,00:33:40,0.5611808,NA,phi
theta,NA,12/11/2018 1:52 pm,12/11/2018 2:20 pm,00:27:56,0.4655795,NA,theta
review,NA,12/11/2018 2:20 pm,12/11/2018 2:21 pm,00:00:43,0.0120947,NA,psi
psi,NA,12/11/2018 2:21 pm,12/11/2018 2:21 pm,00:00:36,0.010027,NA,psi
phi,NA,12/11/2018 2:24 pm,12/11/2018 3:16 pm,00:52:06,0.868515,NA,phi
theta,NA,12/11/2018 3:16 pm,12/11/2018 3:29 pm,00:13:15,0.2210634,NA,theta
theta,NA,12/11/2018 6:48 pm,12/11/2018 7:02 pm,00:14:15,0.2375951,NA,theta
psi,NA,12/11/2018 7:02 pm,12/11/2018 7:19 pm,00:16:24,0.273375,NA,psi
psi,NA,12/11/2018 7:39 pm,12/11/2018 7:50 pm,00:11:26,0.1906666,NA,psi
review,NA,12/11/2018 7:50 pm,12/11/2018 8:01 pm,00:10:22,0.1728869,NA,psi
theta,NA,12/11/2018 8:01 pm,12/11/2018 8:43 pm,00:42:39,0.7110269,NA,theta
review,NA,12/11/2018 8:59 pm,12/11/2018 9:07 pm,00:08:38,0.1441433,NA,psi
theta,NA,12/11/2018 9:07 pm,12/11/2018 9:13 pm,00:06:08,0.1024435,NA,theta
theta,NA,12/11/2018 9:21 pm,12/11/2018 9:35 pm,00:13:28,0.2246682,NA,theta
review,NA,12/11/2018 9:35 pm,12/11/2018 9:40 pm,00:04:51,0.0809016,NA,psi
theta,NA,12/11/2018 9:55 pm,12/11/2018 9:58 pm,00:02:16,0.0380345,NA,theta
review,NA,13/11/2018 6:45 am,13/11/2018 6:49 am,00:04:02,0.0673221,NA,psi
psi,NA,13/11/2018 6:49 am,13/11/2018 6:50 am,00:00:29,0.0081871,NA,psi
psi,NA,13/11/2018 6:50 am,13/11/2018 6:54 am,00:03:48,0.0634475,NA,psi
psi,NA,13/11/2018 6:54 am,13/11/2018 6:57 am,00:03:52,0.0646799,NA,psi
psi,NA,13/11/2018 6:58 am,13/11/2018 6:58 am,00:00:33,0.0093172,NA,psi
psi,NA,13/11/2018 6:58 am,13/11/2018 7:00 am,00:01:47,0.0299388,NA,psi
theta,NA,13/11/2018 7:21 am,13/11/2018 7:28 am,00:07:21,0.1226238,NA,theta
psi,NA,13/11/2018 7:28 am,13/11/2018 7:31 am,00:02:51,0.0476142,NA,psi
psi,NA,13/11/2018 7:31 am,13/11/2018 7:32 am,00:00:43,0.0120224,NA,psi
psi,NA,13/11/2018 8:10 am,13/11/2018 8:42 am,00:31:51,0.5308499,NA,psi
review,NA,13/11/2018 3:18 pm,13/11/2018 3:40 pm,00:22:41,0.378152,NA,psi
review,NA,13/11/2018 3:41 pm,13/11/2018 3:42 pm,00:01:05,0.0181698,NA,psi
phi,NA,13/11/2018 3:58 pm,13/11/2018 4:03 pm,00:04:30,0.0750122,NA,phi
theta,NA,13/11/2018 4:03 pm,13/11/2018 4:03 pm,00:00:41,0.0116229,NA,theta
phi,NA,13/11/2018 4:03 pm,13/11/2018 4:07 pm,00:03:15,0.054318,NA,phi
phi,NA,13/11/2018 4:11 pm,13/11/2018 4:15 pm,00:04:36,0.0769405,NA,phi
phi,NA,13/11/2018 4:31 pm,13/11/2018 4:45 pm,00:14:33,0.2425761,NA,phi
review,NA,13/11/2018 5:00 pm,13/11/2018 5:03 pm,00:02:24,0.0401254,NA,psi
theta,NA,13/11/2018 5:03 pm,13/11/2018 5:18 pm,00:15:13,0.2537801,NA,theta
theta,NA,13/11/2018 5:49 pm,13/11/2018 5:53 pm,00:03:18,0.0550969,NA,theta
psi,NA,13/11/2018 5:53 pm,13/11/2018 5:56 pm,00:03:25,0.0571045,NA,psi
review,NA,13/11/2018 5:56 pm,13/11/2018 6:03 pm,00:06:48,0.1134083,NA,psi
theta,NA,13/11/2018 6:03 pm,13/11/2018 6:23 pm,00:20:03,0.3343467,NA,theta
review,NA,13/11/2018 6:23 pm,13/11/2018 6:23 pm,00:00:11,0.0032742,NA,psi
phi,NA,13/11/2018 6:23 pm,13/11/2018 6:30 pm,00:07:24,0.123433,NA,phi
theta,NA,13/11/2018 7:27 pm,13/11/2018 7:43 pm,00:15:37,0.2604993,NA,theta
review,NA,13/11/2018 7:43 pm,13/11/2018 7:43 pm,00:00:05,0.0015333,NA,psi
review,NA,13/11/2018 7:43 pm,13/11/2018 7:43 pm,00:00:19,0.0055131,NA,psi
review,NA,13/11/2018 7:43 pm,13/11/2018 7:44 pm,00:00:52,0.0146596,NA,psi
psi,NA,13/11/2018 7:51 pm,13/11/2018 8:36 pm,00:45:01,0.7504507,NA,psi
review,NA,13/11/2018 8:41 pm,13/11/2018 8:51 pm,00:09:16,0.1546975,NA,psi
review,NA,13/11/2018 8:54 pm,13/11/2018 9:19 pm,00:24:47,0.4132055,NA,psi
theta,NA,13/11/2018 9:19 pm,13/11/2018 9:48 pm,00:29:09,0.4858993,NA,theta
review,NA,14/11/2018 7:47 am,14/11/2018 7:48 am,00:01:15,0.0210896,NA,psi
psi,NA,14/11/2018 7:53 am,14/11/2018 7:58 am,00:05:45,0.0959229,NA,psi
psi,NA,14/11/2018 7:58 am,14/11/2018 8:04 am,00:06:08,0.1022964,NA,psi
psi,NA,14/11/2018 8:24 am,14/11/2018 8:39 am,00:15:37,0.2603715,NA,psi
review,NA,14/11/2018 8:43 am,14/11/2018 8:45 am,00:01:08,0.018896,NA,psi
review,NA,14/11/2018 12:16 pm,14/11/2018 12:16 pm,00:00:09,0.0027231,NA,psi
review,NA,16/11/2018 12:41 pm,16/11/2018 12:56 pm,00:15:12,0.2534389,NA,psi
review,NA,16/11/2018 1:04 pm,16/11/2018 1:26 pm,00:21:25,0.357044,NA,psi
psi,NA,16/11/2018 2:31 pm,16/11/2018 2:52 pm,00:21:25,0.3570873,NA,psi
psi,NA,16/11/2018 2:52 pm,16/11/2018 3:12 pm,00:19:54,0.3316866,NA,psi
review,NA,16/11/2018 3:12 pm,16/11/2018 3:13 pm,00:00:47,0.0133238,NA,psi
phi,NA,16/11/2018 3:13 pm,16/11/2018 3:16 pm,00:02:47,0.0464086,NA,phi
psi,NA,16/11/2018 3:16 pm,16/11/2018 3:24 pm,00:08:17,0.1381197,NA,psi
review,NA,16/11/2018 3:24 pm,16/11/2018 3:25 pm,00:00:51,0.014353,NA,psi
psi,NA,16/11/2018 3:25 pm,16/11/2018 3:25 pm,00:00:38,0.0106701,NA,psi
phi,NA,16/11/2018 4:40 pm,16/11/2018 5:05 pm,00:25:04,0.417936,NA,phi
review,NA,16/11/2018 5:05 pm,16/11/2018 5:06 pm,00:01:21,0.0225594,NA,psi
review,NA,16/11/2018 5:09 pm,16/11/2018 5:09 pm,00:00:35,0.0098596,NA,psi
psi,NA,16/11/2018 5:23 pm,16/11/2018 5:43 pm,00:20:28,0.3413844,NA,psi
review,NA,16/11/2018 5:44 pm,16/11/2018 5:45 pm,00:01:12,0.0200622,NA,psi
phi,NA,16/11/2018 7:13 pm,16/11/2018 7:34 pm,00:20:24,0.34018,NA,phi
review,NA,16/11/2018 7:34 pm,16/11/2018 7:34 pm,00:00:18,0.0050798,NA,psi
phi,NA,17/11/2018 8:00 am,17/11/2018 8:12 am,00:12:05,0.2015136,NA,phi
review,NA,17/11/2018 11:02 am,17/11/2018 11:07 am,00:05:01,0.0838887,NA,psi
psi,NA,17/11/2018 11:07 am,17/11/2018 11:09 am,00:02:34,0.042817,NA,psi
psi,NA,17/11/2018 11:09 am,17/11/2018 11:14 am,00:04:43,0.0787946,NA,psi
psi,NA,17/11/2018 11:34 am,17/11/2018 11:43 am,00:09:00,0.1501676,NA,psi
psi,NA,17/11/2018 11:44 am,17/11/2018 11:52 am,00:07:57,0.1327451,NA,psi
review,NA,17/11/2018 11:52 am,17/11/2018 11:53 am,00:00:22,0.0062594,NA,psi
phi,NA,17/11/2018 1:01 pm,17/11/2018 1:01 pm,00:00:00,3.65e-5,NA,phi
phi,NA,17/11/2018 1:01 pm,17/11/2018 1:06 pm,00:04:59,0.0830591,NA,phi
theta,NA,17/11/2018 1:06 pm,17/11/2018 1:07 pm,00:00:56,0.0156133,NA,theta
psi,NA,17/11/2018 1:07 pm,17/11/2018 1:11 pm,00:04:10,0.0696268,NA,psi
phi,NA,17/11/2018 1:39 pm,17/11/2018 1:41 pm,00:02:26,0.0406071,NA,phi
phi,NA,17/11/2018 2:08 pm,17/11/2018 2:28 pm,00:20:11,0.3365586,NA,phi
review,NA,17/11/2018 2:28 pm,17/11/2018 2:29 pm,00:00:35,0.0097572,NA,psi
theta,NA,17/11/2018 2:43 pm,17/11/2018 3:03 pm,00:20:11,0.3366074,NA,theta
review,NA,17/11/2018 3:03 pm,17/11/2018 3:04 pm,00:00:57,0.0158969,NA,psi
psi,NA,17/11/2018 3:04 pm,17/11/2018 3:04 pm,00:00:03,8.756e-4,NA,psi
psi,NA,17/11/2018 3:15 pm,17/11/2018 3:25 pm,00:10:07,0.168728,NA,psi
review,NA,17/11/2018 4:21 pm,17/11/2018 4:22 pm,00:00:30,0.0084614000000000009,NA,psi
phi,NA,17/11/2018 4:22 pm,17/11/2018 4:31 pm,00:09:03,0.150842,NA,phi
theta,NA,17/11/2018 4:31 pm,17/11/2018 5:38 pm,01:07:07,1.1188247,NA,theta
review,NA,17/11/2018 5:38 pm,17/11/2018 5:39 pm,00:00:38,0.0105977,NA,psi
phi,NA,17/11/2018 7:51 pm,17/11/2018 8:29 pm,00:37:17,0.6215369,NA,phi
review,NA,17/11/2018 8:29 pm,17/11/2018 8:29 pm,00:00:40,0.0112706,NA,psi
review,NA,18/11/2018 5:21 am,18/11/2018 5:26 am,00:04:36,0.076897,NA,psi
review,NA,18/11/2018 9:11 am,18/11/2018 9:13 am,00:01:34,0.0262696,NA,psi
psi,NA,18/11/2018 9:13 am,18/11/2018 9:23 am,00:10:45,0.1794035,NA,psi
psi,NA,18/11/2018 9:23 am,18/11/2018 10:08 am,00:44:33,0.7427705,NA,psi
psi,NA,18/11/2018 3:00 pm,18/11/2018 3:20 pm,00:20:18,0.338528,NA,psi
psi,NA,18/11/2018 3:21 pm,18/11/2018 3:23 pm,00:02:18,0.0385327,NA,psi
review,NA,18/11/2018 7:45 pm,18/11/2018 7:50 pm,00:05:18,0.0884939,NA,psi
review,NA,18/11/2018 7:52 pm,18/11/2018 7:53 pm,00:00:57,0.0160369,NA,psi
phi,NA,18/11/2018 7:54 pm,18/11/2018 7:57 pm,00:02:29,0.0415376,NA,phi
theta,NA,18/11/2018 7:57 pm,18/11/2018 8:07 pm,00:10:46,0.1796059,NA,theta
phi,NA,18/11/2018 8:07 pm,18/11/2018 8:10 pm,00:03:07,0.0520412,NA,phi
phi,NA,18/11/2018 8:12 pm,18/11/2018 8:46 pm,00:33:18,0.55508710000000006,NA,phi
phi,NA,18/11/2018 8:46 pm,18/11/2018 8:46 pm,00:00:02,8.289e-4,NA,phi
review,NA,18/11/2018 8:46 pm,18/11/2018 8:47 pm,00:00:59,0.0164508,NA,psi
theta,NA,19/11/2018 2:18 am,19/11/2018 2:23 am,00:04:52,0.081157000000000007,NA,theta
psi,NA,19/11/2018 2:24 am,19/11/2018 2:30 am,00:05:30,0.0918616,NA,psi
psi,NA,19/11/2018 2:30 am,19/11/2018 2:44 am,00:14:34,0.2430067,NA,psi
phi,NA,19/11/2018 7:17 am,19/11/2018 7:44 am,00:27:46,0.4628706,NA,phi
phi,NA,19/11/2018 7:59 am,19/11/2018 7:59 am,00:00:15,0.0043021,NA,phi
psi,NA,19/11/2018 7:59 am,19/11/2018 7:59 am,00:00:00,1.802e-4,NA,psi
phi,NA,19/11/2018 7:59 am,19/11/2018 8:06 am,00:06:43,0.1122217,NA,phi
phi,NA,19/11/2018 8:06 am,19/11/2018 8:20 am,00:14:33,0.2426683,NA,phi
review,NA,19/11/2018 8:20 am,19/11/2018 8:21 am,00:00:55,0.0154793,NA,psi
phi,NA,19/11/2018 10:01 am,19/11/2018 10:21 am,00:20:04,0.3346795,NA,phi
phi,NA,19/11/2018 11:33 am,19/11/2018 11:45 am,00:12:29,0.2081677,NA,phi
review,NA,19/11/2018 11:45 am,19/11/2018 11:46 am,00:00:26,0.0074819,NA,psi
phi,NA,19/11/2018 12:36 pm,19/11/2018 1:14 pm,00:38:01,0.6336605,NA,phi
review,NA,19/11/2018 1:14 pm,19/11/2018 1:17 pm,00:03:13,0.053814,NA,psi
psi,NA,19/11/2018 1:30 pm,19/11/2018 1:34 pm,00:03:19,0.0555402,NA,psi
psi,NA,19/11/2018 1:39 pm,19/11/2018 1:49 pm,00:10:02,0.1673472,NA,psi
psi,NA,19/11/2018 1:50 pm,19/11/2018 1:54 pm,00:04:07,0.0686248,NA,psi
psi,NA,19/11/2018 2:09 pm,19/11/2018 2:21 pm,00:12:15,0.2042105,NA,psi
psi,NA,19/11/2018 2:23 pm,19/11/2018 2:28 pm,00:04:10,0.0696825,NA,psi
phi,NA,19/11/2018 3:30 pm,19/11/2018 3:34 pm,00:04:26,0.0739456,NA,phi
phi,NA,19/11/2018 3:35 pm,19/11/2018 3:41 pm,00:05:37,0.0938834,NA,phi
review,NA,19/11/2018 4:39 pm,19/11/2018 4:44 pm,00:04:37,0.0771501,NA,psi
phi,NA,19/11/2018 4:44 pm,19/11/2018 5:05 pm,00:20:47,0.3464051,NA,phi
review,NA,19/11/2018 5:05 pm,19/11/2018 5:05 pm,00:00:44,0.0122434,NA,psi
phi,NA,19/11/2018 5:39 pm,19/11/2018 6:00 pm,00:21:35,0.3598156,NA,phi
phi,NA,19/11/2018 6:01 pm,19/11/2018 6:02 pm,00:01:29,0.0247674,NA,phi
review,NA,19/11/2018 6:02 pm,19/11/2018 6:03 pm,00:01:22,0.0227811,NA,psi
phi,NA,19/11/2018 6:37 pm,19/11/2018 6:57 pm,00:20:05,0.3348859,NA,phi
phi,NA,19/11/2018 6:57 pm,19/11/2018 7:17 pm,00:19:42,0.3286017,NA,phi
review,NA,19/11/2018 7:17 pm,19/11/2018 7:19 pm,00:01:48,0.0302131,NA,psi
review,NA,19/11/2018 8:40 pm,19/11/2018 8:41 pm,00:01:34,0.0262813,NA,psi
phi,NA,19/11/2018 8:41 pm,19/11/2018 8:52 pm,00:10:27,0.1742678,NA,phi
review,NA,19/11/2018 8:52 pm,19/11/2018 8:52 pm,00:00:40,0.0113215,NA,psi
phi,NA,19/11/2018 8:52 pm,19/11/2018 8:53 pm,00:00:07,0.0020152,NA,phi
phi,NA,19/11/2018 9:05 pm,19/11/2018 9:25 pm,00:20:49,0.347123,NA,phi
review,NA,19/11/2018 9:26 pm,19/11/2018 9:27 pm,00:01:52,0.0312494,NA,psi
phi,NA,19/11/2018 9:27 pm,19/11/2018 9:33 pm,00:05:09,0.0860313,NA,phi
phi,NA,20/11/2018 1:58 am,20/11/2018 1:58 am,00:00:30,0.0084884,NA,phi
phi,NA,20/11/2018 1:58 am,20/11/2018 1:59 am,00:00:17,0.0049665,NA,phi
phi,NA,20/11/2018 1:59 am,20/11/2018 2:22 am,00:23:34,0.3929658,NA,phi
review,NA,20/11/2018 2:23 am,20/11/2018 2:24 am,00:01:15,0.0209433,NA,psi
review,NA,20/11/2018 4:59 pm,20/11/2018 5:06 pm,00:07:01,0.1170568,NA,psi
phi,NA,21/11/2018 12:11 am,21/11/2018 12:47 am,00:36:04,0.6013425,NA,phi
phi,NA,21/11/2018 12:50 am,21/11/2018 1:20 am,00:30:19,0.5053911,NA,phi
psi,NA,21/11/2018 3:36 am,21/11/2018 4:31 am,00:55:39,0.9276641,NA,psi
psi,NA,21/11/2018 4:55 am,21/11/2018 5:03 am,00:08:24,0.140088,NA,psi
psi,NA,21/11/2018 5:03 am,21/11/2018 5:15 am,00:12:13,0.2037794,NA,psi
review,NA,21/11/2018 2:59 pm,21/11/2018 3:03 pm,00:03:33,0.0592844,NA,psi
review,NA,21/11/2018 3:08 pm,21/11/2018 3:09 pm,00:00:39,0.01111,NA,psi
psi,NA,21/11/2018 6:25 pm,21/11/2018 6:25 pm,00:00:01,3.379e-4,NA,psi
phi,NA,21/11/2018 6:25 pm,21/11/2018 6:32 pm,00:07:19,0.122046,NA,phi
psi,NA,21/11/2018 6:37 pm,21/11/2018 6:48 pm,00:10:14,0.1706712,NA,psi
psi,NA,21/11/2018 6:48 pm,21/11/2018 6:48 pm,00:00:31,0.0086883,NA,psi
psi,NA,21/11/2018 8:59 pm,21/11/2018 9:02 pm,00:03:20,0.0557075,NA,psi
phi,NA,21/11/2018 9:02 pm,21/11/2018 9:27 pm,00:25:17,0.4215748,NA,phi
psi,NA,22/11/2018 1:57 am,22/11/2018 1:57 am,00:00:00,1.874e-4,NA,psi
